productId,name,description,price
101,Wireless Mouse,Ergonomic wireless mouse with adjustable DPI.,25.99
102,Mechanical Keyboard,Backlit mechanical keyboard with customizable keys.,79.99
103,Gaming Headset,High-quality gaming headset with surround sound.,59.99
104,Webcam HD,1080p webcam with noise-canceling microphone.,39.99
105,Laptop Stand,Adjustable aluminum laptop stand for ergonomic use.,29.99
106,Portable SSD,1TB USB-C portable solid-state drive.,109.99
107,USB Hub,7-port USB 3.0 hub with fast charging.,19.99
108,Smartphone Holder,Adjustable holder for smartphones and tablets.,14.99
109,Wireless Charger,Fast wireless charger for multiple devices.,24.99
110,Action Camera,4K action camera with waterproof casing.,129.99
111,Bluetooth Speaker,Portable Bluetooth speaker with powerful sound.,49.99
112,Graphic Tablet,Drawing tablet with pressure sensitivity.,89.99
113,External Monitor,24-inch Full HD external monitor.,139.99
114,LED Desk Lamp,Touch control LED desk lamp with USB charging port.,34.99
115,Noise-Canceling Earbuds,True wireless earbuds with noise-canceling feature.,69.99
116,Power Bank,20000mAh portable power bank with quick charge.,29.99
117,Smartwatch,Fitness-focused smartwatch with heart rate monitor.,149.99
118,Ergonomic Chair,Adjustable ergonomic office chair with lumbar support.,199.99
119,Wireless Keyboard,Compact wireless keyboard with long battery life.,29.99
120,Router,High-speed dual-band wireless router.,89.99
121,VR Headset,Virtual reality headset with immersive visuals.,299.99
122,Smart Home Hub,Voice-activated smart home hub with multiple integrations.,129.99
123,Wireless Earbuds,True wireless earbuds with active noise cancellation.,79.99
124,Smart TV,4K smart TV with built-in streaming services.,399.99
125,Smart Thermostat,Wi-Fi enabled smart thermostat with energy monitoring.,149.99
126,Smart Lock,Smart Wi-Fi lock with remote access and guest mode.,199.99
127,Smart Speaker,Voice-activated smart speaker with multiple integrations.,129.99
128,Smart Security Camera,Wi-Fi enabled smart security camera with night vision.,149.99


